Date-Time: 21/Nov/2021 07:09:26| Name: __main__| Level: DEBUG| Message: A Debug Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: __main__| Level: INFO| Message: A Info Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: __main__| Level: WARNING| Message: A Warning Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: __main__| Level: LEVEL| Message: A Level Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: __main__| Level: ERROR| Message: An Error Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: __main__| Level: CRITICAL| Message: A Critical Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: root| Level: WARNING| Message: A Warning Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: root| Level: LEVEL| Message: A Level Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: root| Level: ERROR| Message: An Error Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: root| Level: CRITICAL| Message: A Critical Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: foo| Level: DEBUG| Message: A Debug Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: foo| Level: INFO| Message: A Info Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: foo| Level: WARNING| Message: A Warning Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: foo| Level: LEVEL| Message: A Level Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: foo| Level: ERROR| Message: An Error Logging Message
Date-Time: 21/Nov/2021 07:09:26| Name: foo| Level: CRITICAL| Message: A Critical Logging Message
